beta,model,top_1,top_3,top_5,top_10,top_20
0.5,Targeted List,0.13636363636363635,0.4090909090909091,0.5,0.6590909090909091,1.0
0.5,Targeted Markov,0.06818181818181818,0.11363636363636363,0.25,0.4090909090909091,1.0
0.5,Targeted PCFG-lite,0.06818181818181818,0.18181818181818182,0.22727272727272727,0.3409090909090909,1.0
1.0,Targeted List,0.13636363636363635,0.4090909090909091,0.5,0.6590909090909091,1.0
1.0,Targeted Markov,0.06818181818181818,0.11363636363636363,0.25,0.4318181818181818,1.0
1.0,Targeted PCFG-lite,0.06818181818181818,0.18181818181818182,0.22727272727272727,0.36363636363636365,1.0
2.0,Targeted List,0.13636363636363635,0.4090909090909091,0.5,0.6590909090909091,1.0
2.0,Targeted Markov,0.045454545454545456,0.13636363636363635,0.29545454545454547,0.5,1.0
2.0,Targeted PCFG-lite,0.09090909090909091,0.18181818181818182,0.25,0.4090909090909091,1.0
